DDT_ppm,Line,Station,Year,line.station,latitude,longitude,type,source
0.064,93.3,55,1953-1956,93.3 55,32.00116422,-119.2229367,summary,MacGregor1974
0.096,93.3,45,1953-1956,93.3 45,32.33769787,-118.5475681,summary,MacGregor1974
0.128,80,51,1953-1956,80 51,34.4441266,-120.5387064,summary,MacGregor1974
0.128,83.3,75,1957-1960,83.3 75,33.06526316,-121.7642211,summary,MacGregor1974
0.144,83.3,70,1957-1960,83.3 70,33.23634646,-121.4364818,summary,MacGregor1974
0.145,83.3,55,1950-1952,83.3 55,33.73346667,-120.400098,summary,MacGregor1974
0.16,90,55,1953-1956,90 55,32.57098393,-119.6177339,summary,MacGregor1974
0.16,90,70,1953-1956,90 70,32.0737594,-120.6404143,summary,MacGregor1974
0.176,80,80,1953-1956,80 80,33.47991694,-122.5326048,summary,MacGregor1974
0.208,90,65,1953-1956,90 65,32.23145082,-120.2920246,summary,MacGregor1974
0.209,90,55,1957-1960,90 55,32.57098393,-119.6177339,summary,MacGregor1974
0.21,80,65,1961-1966,80 65,33.97794333,-121.49411,summary,MacGregor1974
0.21,86.7,60,1950-1952,86.7 60,32.99282613,-120.3524135,summary,MacGregor1974
0.24,80,65,1953-1956,80 65,33.97794333,-121.49411,summary,MacGregor1974
0.242,80,51,1961-1966,80 51,34.4441266,-120.5387064,summary,MacGregor1974
0.256,83.3,51,1953-1956,83.3 51,33.86777375,-120.1351675,summary,MacGregor1974
0.257,76.7,60,1957-1960,76.7 60,34.726072,-121.558776,summary,MacGregor1974
0.258,86.7,55,1950-1952,86.7 55,33.16001717,-120.0159919,summary,MacGregor1974
0.258,90,90,1961-1966,90 90,31.40711167,-121.9878183,summary,MacGregor1974
0.288,76.7,65,1953-1956,76.7 65,34.56075758,-121.9033788,summary,MacGregor1974
0.288,80,70,1953-1956,80 70,33.81036585,-121.8441325,summary,MacGregor1974
0.305,80,70,1957-1960,80 70,33.81036585,-121.8441325,summary,MacGregor1974
0.305,83.3,60,1957-1960,83.3 60,33.56957129,-120.7515198,summary,MacGregor1974
0.306,80,70,1961-1966,80 70,33.81036585,-121.8441325,summary,MacGregor1974
0.32,93.3,35,1953-1956,93.3 35,32.67025326,-117.8635891,summary,MacGregor1974
0.323,79,60,1961-1966,79 60,34.3233,-121.27,summary,MacGregor1974
0.323,90,60,1950-1952,90 60,32.41107619,-119.9542184,summary,MacGregor1974
0.336,80,60,1953-1956,80 60,34.1476019,-121.1513629,summary,MacGregor1974
0.336,83.3,70,1953-1956,83.3 70,33.23634646,-121.4364818,summary,MacGregor1974
0.336,96.7,30,1953-1956,96.7 30,32.25769265,-117.1364265,summary,MacGregor1974
0.339,85,70,1950-1952,85 70,32.94622727,-121.2365,summary,MacGregor1974
0.339,96.7,30,1950-1952,96.7 30,32.25769265,-117.1364265,summary,MacGregor1974
0.352,76.7,55,1953-1956,76.7 55,34.89692708,-121.2146156,summary,MacGregor1974
0.352,83.3,55,1953-1956,83.3 55,33.73346667,-120.400098,summary,MacGregor1974
0.352,83.3,60,1953-1956,83.3 60,33.56957129,-120.7515198,summary,MacGregor1974
0.368,90,60,1953-1956,90 60,32.41107619,-119.9542184,summary,MacGregor1974
0.371,85,60,1950-1952,85 60,33.2769871,-120.5583355,summary,MacGregor1974
0.384,80,55,1953-1956,80 55,34.31574771,-120.8034706,summary,MacGregor1974
0.384,85,55,1953-1956,85 55,33.44784583,-120.2086833,summary,MacGregor1974
0.4,90,50,1953-1956,90 50,32.75106034,-119.2765224,summary,MacGregor1974
0.403,76.7,57,1961-1966,76.7 57,34.83333889,-121.3576778,summary,MacGregor1974
0.416,93.3,40,1953-1956,93.3 40,32.49955963,-118.2022183,summary,MacGregor1974
0.416,93.3,60,1953-1956,93.3 60,31.8365874,-119.5629016,summary,MacGregor1974
0.417,80,90,1957-1960,80 90,33.15217143,-123.217442,summary,MacGregor1974
0.432,76.7,80,1953-1956,76.7 80,34.06097945,-122.9461836,summary,MacGregor1974
0.435,90,37,1961-1966,90 37,33.18171809,-118.3895734,summary,MacGregor1974
0.498,86.7,60,1957-1960,86.7 60,32.99282613,-120.3524135,summary,MacGregor1974
0.512,86.7,60,1953-1956,86.7 60,32.99282613,-120.3524135,summary,MacGregor1974
0.532,90,37,1950-1952,90 37,33.18171809,-118.3895734,summary,MacGregor1974
0.544,86.7,55,1953-1956,86.7 55,33.16001717,-120.0159919,summary,MacGregor1974
0.548,90,53,1961-1966,90 53,32.64961739,-119.4775174,summary,MacGregor1974
0.548,90,54,1950-1952,90 54,32.6183,-119.54915,summary,MacGregor1974
0.548,93.3,40,1950-1952,93.3 40,32.49955963,-118.2022183,summary,MacGregor1974
0.548,96.7,50,1961-1966,96.7 50,31.59356822,-118.4925215,summary,MacGregor1974
0.56,93.3,30,1953-1956,93.3 30,32.83735743,-117.5239149,summary,MacGregor1974
0.56,96.7,35,1953-1956,96.7 35,32.09335541,-117.4722757,summary,MacGregor1974
0.592,90,42,1953-1956,90 42,33.01625,-118.7325,summary,MacGregor1974
0.594,76.7,55,1957-1960,76.7 55,34.89692708,-121.2146156,summary,MacGregor1974
0.597,85,51,1961-1966,85 51,33.582925,-119.92835,summary,MacGregor1974
0.597,86.7,65,1961-1966,86.7 65,32.81764783,-120.7048565,summary,MacGregor1974
0.629,93.3,28,1950-1952,93.3 28,32.91147286,-117.3817871,summary,MacGregor1974
0.656,85,43,1953-1956,85 43,33.84834,-119.37668,summary,MacGregor1974
0.658,80,60,1957-1960,80 60,34.1476019,-121.1513629,summary,MacGregor1974
0.677,80,60,1950-1952,80 60,34.1476019,-121.1513629,summary,MacGregor1974
0.677,83.3,60,1961-1966,83.3 60,33.56957129,-120.7515198,summary,MacGregor1974
0.677,90,45,1950-1952,90 45,32.91374495,-118.9342642,summary,MacGregor1974
0.706,93.3,30,1957-1960,93.3 30,32.83735743,-117.5239149,summary,MacGregor1974
0.706,93.3,40,1957-1960,93.3 40,32.49955963,-118.2022183,summary,MacGregor1974
0.742,86.7,45,1950-1952,86.7 45,33.49711795,-119.3188885,summary,MacGregor1974
0.758,90,28,1950-1952,90 28,33.47475568,-117.7753205,summary,MacGregor1974
0.768,86.7,45,1953-1956,86.7 45,33.49711795,-119.3188885,summary,MacGregor1974
0.8,85,40,1953-1956,85 40,33.94788077,-119.1735846,summary,MacGregor1974
0.839,86.7,35,1950-1952,86.7 35,33.82644545,-118.630174,summary,MacGregor1974
0.855,81.5,50,1961-1966,81.5 50,34.1833,-120.25,summary,MacGregor1974
0.871,86.7,40,1950-1952,86.7 40,33.66200964,-118.9748048,summary,MacGregor1974
0.896,90,37,1953-1956,90 37,33.18171809,-118.3895734,summary,MacGregor1974
0.935,85,50,1950-1952,85 50,33.61148571,-119.864825,summary,MacGregor1974
0.96,86.7,40,1953-1956,86.7 40,33.66200964,-118.9748048,summary,MacGregor1974
1.008,90,28,1953-1956,90 28,33.47475568,-117.7753205,summary,MacGregor1974
1.108,90,45,1957-1960,90 45,32.91374495,-118.9342642,summary,MacGregor1974
1.184,90,45,1953-1956,90 45,32.91374495,-118.9342642,summary,MacGregor1974
1.21,90,28,1961-1966,90 28,33.47475568,-117.7753205,summary,MacGregor1974
1.306,86.7,45,1961-1966,86.7 45,33.49711795,-119.3188885,summary,MacGregor1974
1.548,93.3,28,1961-1966,93.3 28,32.91147286,-117.3817871,summary,MacGregor1974
1.742,90,40,1961-1966,90 40,33.08334,-118.59268,summary,MacGregor1974
1.758,93.3,50,1950-1952,93.3 50,32.16984724,-118.8830465,summary,MacGregor1974
1.888,86.7,35,1953-1956,86.7 35,33.82644545,-118.630174,summary,MacGregor1974
2.064,83.3,42,1953-1956,83.3 42,34.17723404,-119.5053894,summary,MacGregor1974
2.489,90,28,1957-1960,90 28,33.47475568,-117.7753205,summary,MacGregor1974
2.553,86.7,40,1957-1960,86.7 40,33.66200964,-118.9748048,summary,MacGregor1974
3.484,86,46,1957-1960,86 46,33.60415,-119.4875,summary,MacGregor1974
4.742,86.7,35,1961-1966,86.7 35,33.82644545,-118.630174,summary,MacGregor1974
1.185,90,30,1962,90 30,33.41783,-117.9039,individual,Mearns1991
1.521,90,30,1955,90 30,33.41783,-117.9039,individual,Mearns1991
1.184,90,30,1955,90 30,33.41783,-117.9039,individual,Mearns1991
0.952,90,30,1955,90 30,33.41783,-117.9039,individual,Mearns1991
0.719,90,30,1956,90 30,33.41783,-117.9039,individual,Mearns1991
0.186,90,30,1955,90 30,33.41783,-117.9039,individual,Mearns1991
0.690,90,30,1953,90 30,33.41783,-117.9039,individual,Mearns1991
1.418,90,30,1953,90 30,33.41783,-117.9039,individual,Mearns1991
1.326,90,30,1953,90 30,33.41783,-117.9039,individual,Mearns1991
1.260,90,30,1952,90 30,33.41783,-117.9039,individual,Mearns1991
0.283,90,30,1952,90 30,33.41783,-117.9039,individual,Mearns1991
0.024,90,30,1951,90 30,33.41783,-117.9039,individual,Mearns1991
0.000,90,30,1951,90 30,33.41783,-117.9039,individual,Mearns1991
0.765,90,28,1952,90 28,33.47475568,-117.7753205,individual,Mearns1991
0.397,90,28,1952,90 28,33.47475568,-117.7753205,individual,Mearns1991
0.000,90,28,1953,90 28,33.47475568,-117.7753205,individual,Mearns1991
0.422,90,28,1954,90 28,33.47475568,-117.7753205,individual,Mearns1991
2.214,90,28,1954,90 28,33.47475568,-117.7753205,individual,Mearns1991
2.956,90,28,1957,90 28,33.47475568,-117.7753205,individual,Mearns1991
2.020,90,28,1957,90 28,33.47475568,-117.7753205,individual,Mearns1991
2.697,90,28,1960,90 28,33.47475568,-117.7753205,individual,Mearns1991
1.139,86.7,40,1950,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
1.192,86.7,40,1951,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
0.653,86.7,40,1951,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
0.505,86.7,40,1951,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
1.000,86.7,40,1954,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
0.514,86.7,40,1955,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
0.405,86.7,40,1955,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
2.862,86.7,40,1957,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
2.214,86.7,40,1957,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
0.514,86.7,40,1955,86.7 40,33.66200964,-118.9748048,individual,Mearns1991
3.478,86.7,35,1955,86.7 35,33.82644545,-118.630174,individual,Mearns1991
2.454,86.7,35,1955,86.7 35,33.82644545,-118.630174,individual,Mearns1991
1.334,86.7,35,1955,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.966,86.7,35,1955,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.766,86.7,35,1958,86.7 35,33.82644545,-118.630174,individual,Mearns1991
4.742,86.7,35,1961,86.7 35,33.82644545,-118.630174,individual,Mearns1991
2.254,86.7,35,1954,86.7 35,33.82644545,-118.630174,individual,Mearns1991
1.422,86.7,35,1954,86.7 35,33.82644545,-118.630174,individual,Mearns1991
1.262,86.7,35,1954,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.734,86.7,35,1954,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.246,86.7,35,1953,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.254,86.7,35,1952,86.7 35,33.82644545,-118.630174,individual,Mearns1991
1.502,86.7,35,1952,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.789,86.7,35,1951,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.629,86.7,35,1951,86.7 35,33.82644545,-118.630174,individual,Mearns1991
0.766,86.7,35,1950,86.7 35,33.82644545,-118.630174,individual,Mearns1991