trophic,source,beta_teleost,beta_sd_teleost,beta_pp,beta_sd_pp,TDF_teleost,TDF_sd_teleost
Ala,Gly,3.2,0.8,4.4,4.1,7.2,0.4
Ala,Lys,4.9,0.7,2.8,6.2,3,0.4
Ala,Phe,5.4,0.6,2.6,2.3,6.1,0.3
Ala,Ser,3.1,1.9,6.6,3,7.1,1.2
Ala,Thr,1,1.2,2.1,4.7,16.5,0.7
Glu,Gly,1.7,0.9,4.5,4.1,6.8,0.5
Glu,Lys,3.9,0.5,2.9,6.1,5.2,0.3
Glu,Phe,3.6,0.5,2.7,2.2,5.7,0.3
Glu,Ser,1.4,1.9,6.7,3.4,6.8,1.2
Glu,Thr,-0.1,1.1,2.2,4.6,15.8,0.7
Leu,Gly,1.1,0.9,2.4,4.3,6.9,0.5
Leu,Lys,3,0.6,0.8,5.5,5.6,0.3
Leu,Phe,2.7,0.6,0.6,3.2,6.1,0.3
Leu,Ser,1.4,1.7,4.6,3.8,6.6,1.1
Leu,Thr,-0.7,1.2,0.1,4.2,16,0.7
Pro,Gly,-0.1,1.3,4.4,4.2,6.6,0.7
Pro,Lys,1,0.7,2.7,5.7,5.5,0.4
Pro,Phe,-0.6,0.9,2.6,2.3,6.7,0.6
Pro,Ser,-3.2,2.8,6.6,3.1,8.1,1.8
Pro,Thr,-2.6,1.3,2,4.9,15.9,0.7
Val,Gly,-1,2,5.3,4.8,7.9,1.1
Val,Lys,0.7,2.1,3.7,6.6,6.8,1.3
Val,Phe,0.3,2,3.5,3.1,7.3,1.2
Val,Ser,-38.3,68.8,7.5,3.8,32.9,46.3
Val,Thr,0.9,1.6,3,4.8,14.9,0.9